	objekt_id	objekt_name	objekt_inventarnr	objekt_erfasst_am	institution_id	institution_name	image	total
1	456	Statuette der Göttin Bastet in Gestalt einer sitzenden Katze	ÄM 2598	2021-11-02 21:15:59	9	Ägyptisches Museum und Papyrussammlung	data/smb/resources/images/201806/200w_21081501496.jpg	134
2	52029	Shintô-Götterschrein mit heiliger Katze	I D 17657 a,b	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06173101822.jpg	134
3	108895	Katze auf Rädern zum Ziehen	N (35 F) 917/1995,a	2021-11-02 21:15:59	2	Museum Europäischer Kulturen	data/smb/resources/images/201808/200w_04160418311.jpg	134
4	256381	Einseitig bemaltes Ostrakon mit Darstellung einer Katze vor einem Opfertisch mit Gans (Tefnut-Legende)	ÄM 3317	2021-11-02 21:15:59	9	Ägyptisches Museum und Papyrussammlung	data/smb/resources/images/202009/200w_5f5f700958cb2.jpg	134
5	589	Figur der Göttin Bastet in Gestalt einer sitzenden Katze	ÄM 11385	2021-11-02 21:15:59	9	Ägyptisches Museum und Papyrussammlung	data/smb/resources/images/201806/200w_21081927984.jpg	134
6	6962	"""Hälfte eines breiten Rings, darauf eine gelagerte säugende Hündin"" (tatsächlich Teil eines ägyptischen Sistrums mit säugender Katze)"	Misc. 8482	2021-11-02 21:15:59	10	Antikensammlung	data/smb/resources/images/201806/200w_27194138039.jpg	134
7	7012	Vierfüßiges Tier. Katze? (es handelt sich um einen geometrischen Löwen)	Misc. 7899	2021-11-02 21:15:59	10	Antikensammlung	data/smb/resources/images/201806/200w_27194155897.jpg	134
8	230034	Amorette mit Katze	1928107	2021-11-02 21:15:59	14	Kunstgewerbemuseum	data/smb/resources/images/202009/200w_5f5ea0d3c91bf.jpg	134
9	63364	Mädchen mit Katze	60025-04.415	2021-11-02 21:15:59	3	Museum für Asiatische Kunst	data/smb/resources/images/201807/200w_15173931440.jpg	134
10	106633	Geliebte Katze	N (47 B) 3/2017,35	2021-11-02 21:15:59	2	Museum Europäischer Kulturen	data/smb/resources/images/201808/200w_04153954180.jpg	134
11	50739	Katze	I D 51881	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06165932553.jpg	134
12	51123	Katze mit Schellenbaum	I D 51948	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06171126839.jpg	134
13	51234	Katze 猫	I D 50252	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06171645114.jpg	134
14	51441	Ema: Katze	I D 52073	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06171906607.jpg	134
15	51467	Ema: Katze	I D 52049	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06171932133.jpg	134
16	51562	Ema: Katze	I D 52125	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06172105136.jpg	134
17	51736	Katzen	I D 52252 a,b	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06172711680.jpg	134
18	51794	Katzen	I D 52251 a-c	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06172750863.jpg	134
19	51890	Katze	I D 52290	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06172843317.jpg	134
20	51904	"Nikko ""Nemuri-no-neko"" ""die schlafende Katze"" vor dem Eingang zur Cryptomerien Allee, die zur Grabstätte des Iyeyasu führt. Nach Hidori Gingoro"	VIII D 12502	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06172852239.jpg	134
21	50605	Kauernde Katze 猫 Neko	I D 51748	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06165645371.jpg	134
22	50966	Katze	I D 51834	2021-11-02 21:15:59	11	Ethnologisches Museum	data/smb/resources/images/201807/200w_06170156251.jpg	134
23	83570	Fränzi mit Katze auf einer Decke liegend	KdZ 26603	2021-11-02 21:15:59	15	Kupferstichkabinett	data/smb/resources/images/201807/200w_28193302235.jpg	134
24	85574	St. Goar, Blick auf St. Goarshausen und Burg Katz	SM 9.13	2021-11-02 21:15:59	15	Kupferstichkabinett	data/smb/resources/images/201807/200w_28195922385.jpg	134
