"","Address"
"1","Sindelsdorf"
"2","Potsdamerstrasse 134a, Berlin W.9."
"3","Barmen"
"4","Dresden"
"5","Barmen"
"6","Berlin"
"7","Sindelsdorf"
"8","Potsdamerstrasse 134a, Berlin W.9."
"9","Sindelsdorf"
"10","Potsdamerstrasse 134a, Berlin W.9."
"11","Dresden"
"12","Gießen"
"13","Tokio"
"14","Dresden"
"15","Berlin"
"16","Dresden"
"17","München"
"18","Potsdamerstrasse 134a, Berlin W.9."
"19","Breslau"
"20","Berlin"
"21","Bichl"
"22","Potsdamerstrasse 134a, Berlin W.9."
"23","Sindelsdorf"
"24","Potsdamerstrasse 134a, Berlin W.9."
"25","Seefeld"
"26","Sindelsdorf"
"27","Sindelsdorf"
"28","Potsdamerstrasse 134a, Berlin W.9."
"29","Ried"
"30","Benedictbeuern"
"31","Sindelsdorf"
"32","Potsdamerstrasse 134a, Berlin W.9."
"33","Breslau"
"34","Tunis"
"35","Sindelsdorf"
"36","Potsdamerstrasse 134a, Berlin W.9."
"37","Benediktbeuern"
"38","Potsdamerstrasse 134a, Berlin W.9."
"39","Benediktbeuern"
"40","Potsdamerstrasse 134a, Berlin W.9."
"41","München"
"42","Ried"
"43","Ried"
"44","Ried"
"45","München"
"46","Benediktbeuern"
"47","Potsdamerstrasse 134a, Berlin W.9."
"48","Benediktbeuern"
"49","Potsdamerstrasse 134a, Berlin W.9."
"50","Amsterdam"
"51","Amsterdam"
"52","Benedictbeuern"
"53","Benediktbeuern"
"54","Potsdamerstrasse 134a, Berlin W.9."
"55","Benediktbeuern"
"56","Potsdamerstrasse 134a, Berlin W.9."
"57","Berlin"
"58","Wilmersdorf"
"59","Loverendale, Domburg"
"60","Potsdamerstrasse 134a, Berlin W.9."
"61","Holland"
"62","Domburg"
"63","Straßburg"
"64","Potsdamerstrasse 134a, Berlin W.9."
"65","Strassburg"
"66","Belfort"
"67","Belfort"
"68","Loverendale, Domburg"
"69","Potsdamerstrasse 134a, Berlin W.9."
"70","Leuven"
"71","Domburg"
"73","Potsdamerstrasse 134a, Berlin W.9."
"74","Ried"
"75","München"
"76","35, Nassau Zuilensteinstraat, Den Haag"
"77","Potsdamerstrasse 134a, Berlin W.9."
"78","Feldpoststation A.A. Falkenhausen"
"79","Potsdamerstrasse 134a, Berlin W.9."
"80","Feldpoststation A.A. Falkenhausen"
"81","Potsdamerstrasse 134a, Berlin W.9."
"82","Deutschland"
"83","Feldpoststation A.A. Falkenhausen"
"84","Potsdamerstrasse 134a, Berlin W.9."
"85","35, Nassau Zuilensteinstraat, Den Haag"
"86","Potsdamerstrasse 134a, Berlin W.9."
"87","Rotterdam"
"88","Rotterdam"
"89","Zeeland"
"90","Holland"
"91","Holland"
"92","Holland"
"93","Paris"
"94","Rotterdam"
"95","Rotterdam"
"96","Domburg"
"97","Amsterdam"
"98","Berlin"
"99","35, Nassau Zuilensteinstraat, Den Haag"
"100","Potsdamerstrasse 134a Berlin W.9."
"101","Berlin"
"102","Rotterdam"
"103","Domburg"
"104","Middelburg"
"105","Zeeland"
"106","Haag"
"107","Amsterdam"
"108","Rotterdam"
"109","Scheveningen"
"110","Zwolle"
"111","Holland"
"112","Domburg"
"113","Ensisheim"
"114","Potsdamerstrasse 134a, Berlin W.9."
"116","Potsdamerstrasse 134a Berlin W.9."
"117","Dresden"
"118","Berlin"
"119","Ried"
"120","Hamburg"
"122","Potsdamerstrasse 134a, Berlin W.9."
"123","Berlin"
"124","Ried"
"125","Hamburg"
"127","Potsdamerstrasse 134a, Berlin W.9."
"129","Potsdamerstrasse 134a, Berlin W.9."
"131","Potsdamerstrasse 134a, Berlin W.9."
"133","Potsdamerstrasse 134a, Berlin W.9."
"134","Kopenhagen"
"136","Potsdamerstrasse 134a, Berlin W.9."
"137","Ried"
"138","Ried"
"139","Ried"
"140","Potsdamerstrasse 134a, Berlin W.9."
"141","Ried"
"142","Loverendale, Domburg"
"143","Potsdamerstrasse 134a, Berlin W.9."
"144","Kofno"
"145","Rusland"
"146","Stockholm"
"147","Russland"
"149","Potsdamerstrasse 134a, Berlin W.9."
"151","Potsdamerstrasse 134a, Berlin W.9."
"153","Potsdamerstrasse 134a, Berlin W.9."
"155","Potsdamerstrasse 134a, Berlin W.9."
"157","Potsdamerstrasse 134a, Berlin W.9."
"159","Potsdamerstrasse 134a, Berlin W.9."
"160","Loverendale, Domburg"
"161","Potsdamerstrasse 134a, Berlin W.9."
"162","Berlin"
"163","Haag"
"164","Haag"
"165","den Haag"
"166","Balkan"
"167","Konstantinopel"
"168","Aegypten"
"169","England"
"171","Potsdamerstrasse 134a, Berlin W.9."
"172","Stockholm"
"173","Hartmannsweiler Kopf"
"175","Potsdamerstrasse 134a, Berlin W.9."
"176","München"
"177","Potsdamerstrasse 134a, Berlin W.9."
"178","Ried"
"179","München"
"181","Potsdamerstrasse 134a, Berlin W.9."
"183","Potsdamerstrasse 134a, Berlin W.9."
"185","Potsdamerstrasse 134a, Berlin W.9."
"186","Berlin"
"188","Potsdamerstrasse 134a, Berlin W.9."
"189","Schweiz"
"191","Potsdamerstrasse 134a, Berlin W.9."
"193","Potsdamerstrasse 134a, Berlin W.9."
"195","Potsdamerstrasse 134a, Berlin W.9."
"196","Den Haag"
"197","den Haag"
"198","Den Haag"
"199","Haag"
"200","Berlin"
